id_client;sexe;tranche_age;enfant_conduite_accompagne;nombre_enfants;tranche_revenus;tranche_valeur_RP;formation;usage_vehicule;type_vehicule;vehicule_est_rouge;tranche nbr_pts-perdus;tranche_age_vehicule;type_conduite;date_demande_mois_année;etat_dossier;formule;tarif_devis
1;F;18-36;FAUX;1;125000-150000;0-50000;Bachelors;Commercial;Sports Car;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
2;F;90-108;VRAI;1;50000-75000;0-50000;High School;Private;Minivan;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
3;F;36-54;FAUX;2;0-25000;0-50000;High School;Private;Pickup;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;janv-22;complet;dev_express;A
4;F;0-18;FAUX;0;0-25000;100000-150000;<High School;Private;SUV;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
5;M;54-72;FAUX;0;N/C;200000-250000;Bachelors;Commercial;Panel Truck;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;mars-22;complet;dev_vip;B
6;F;18-36;FAUX;1;75000-100000;200000-250000;Bachelors;Private;SUV;FAUX;0-3 pts;15-20 ans;Highly Rural/ Rural;mars-22;complet;dev_premium;B
7;F;72-90;VRAI;2;125000-150000;300000-350000;Bachelors;Commercial;Minivan;FAUX;0-3 pts;5-10 ans;Highly Rural/ Rural;mars-22;complet;dev_express;A
8;M;54-72;FAUX;0;50000-75000;200000-250000;Bachelors;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;mars-22;complet;dev_premium;A
9;M;54-72;FAUX;0;100000-125000;300000-350000;PhD;Private;Minivan;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;A
10;F;36-54;FAUX;0;N/C;250000-300000;Bachelors;Commercial;Panel Truck;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
11;F;54-72;VRAI;2;0-25000;0-50000;Bachelors;Private;Minivan;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
12;M;0-18;FAUX;4;0-25000;50000-100000;High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;A
13;F;72-90;FAUX;0;50000-75000;0-50000;PhD;Private;SUV;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
14;M;0-18;FAUX;0;0-25000;0-50000;High School;Commercial;Van;FAUX;3-6 pts;5-10 ans;Highly Rural/ Rural;mai-22;complet;dev_integral;A
15;M;72-90;FAUX;1;25000-50000;200000-250000;High School;Private;Minivan;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
16;M;72-90;FAUX;0;25000-50000;150000-200000;Masters;Private;Minivan;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
17;F;36-54;FAUX;0;100000-125000;300000-350000;Masters;Private;SUV;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
18;F;72-90;FAUX;0;50000-75000;0-50000;Bachelors;Commercial;Van;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
19;F;54-72;FAUX;0;75000-100000;200000-250000;Bachelors;Private;Minivan;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
20;F;72-90;FAUX;0;25000-50000;150000-200000;Bachelors;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
21;M;18-36;FAUX;1;50000-75000;200000-250000;Masters;Private;Minivan;FAUX;0-3 pts;15-20 ans;Highly Rural/ Rural;mars-22;complet;dev_express;A
22;M;90-108;VRAI;3;25000-50000;100000-150000;<High School;Private;Minivan;FAUX;0-3 pts;N/C;Highly Urban/ Urban;mars-22;complet;dev_premium;A
23;F;18-36;FAUX;0;N/C;100000-150000;High School;Commercial;Van;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_premium;A
24;F;72-90;FAUX;3;25000-50000;200000-250000;High School;Commercial;Sports Car;FAUX;3-6 pts;0-5 ans;Highly Urban/ Urban;févr-22;complet;dev_premium;B
25;M;18-36;FAUX;0;0-25000;100000-150000;<High School;Commercial;Pickup;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
26;M;54-72;FAUX;0;N/C;N/C;High School;Private;Minivan;VRAI;0-3 pts;N/C;Highly Rural/ Rural;avr-22;complet;dev_express;A
27;F;18-36;FAUX;0;25000-50000;0-50000;<High School;Private;Sports Car;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;mars-22;complet;dev_integral;A
28;F;36-54;FAUX;0;75000-100000;250000-300000;Masters;Private;SUV;FAUX;3-6 pts;N/C;Highly Urban/ Urban;avr-22;complet;dev_integral;A
29;F;54-72;FAUX;0;50000-75000;150000-200000;High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mars-22;complet;dev_vip;C
30;F;0-18;FAUX;0;100000-125000;300000-350000;Masters;Private;SUV;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;févr-22;complet;dev_premium;A
31;F;36-54;FAUX;2;25000-50000;150000-200000;High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
32;M;36-54;FAUX;2;25000-50000;0-50000;<High School;Commercial;Minivan;VRAI;6-9 pts;5-10 ans;Highly Rural/ Rural;avr-22;complet;dev_integral;A
